token	corpus size	all contexts size	frequency	co-frequency	specificity
urban	253116	20236	312	289	284.14
zelda	253116	20236	556	306	180.91
of	253116	20236	5584	1063	155.93
the	253116	20236	11939	1586	90.42
legend	253116	20236	1294	297	61.23
default	253116	20236	89	66	52.22
describes	253116	20236	52	47	45.36
is	253116	20236	1386	272	42.57
folklore	253116	20236	134	72	42.27
master	253116	20236	74	51	37.90
reviews	253116	20236	109	61	37.34
rings	253116	20236	50	40	34.25
arthurian	253116	20236	30	30	32.92
endless	253116	20236	45	37	32.56
ring	253116	20236	55	39	29.91
handler	253116	20236	35	27	22.55
rcparams	253116	20236	28	24	22.17
local	253116	20236	85	40	21.07
fire	253116	20236	58	33	20.88
an	253116	20236	648	128	20.87
that	253116	20236	1372	203	16.90
disney	253116	20236	48	26	15.89
source	253116	20236	55	27	15.06
map	253116	20236	56	26	13.80
spacing	253116	20236	18	15	13.66
or	253116	20236	621	107	13.48
loc	253116	20236	26	17	12.49
five	253116	20236	140	40	12.27
edit	253116	20236	112	35	12.08
udlala	253116	20236	11	11	12.07
saga	253116	20236	14	12	11.28
title	253116	20236	132	37	11.15
card	253116	20236	124	35	10.68
youtu	253116	20236	13	11	10.25
hollow	253116	20236	22	14	10.15
chart	253116	20236	46	20	10.14
legends	253116	20236	352	65	9.85
myths	253116	20236	48	20	9.74
tales	253116	20236	74	25	9.66
ghost	253116	20236	40	18	9.49
gmt	253116	20236	41	18	9.28
slender	253116	20236	72	24	9.17
alignment	253116	20236	18	12	9.12
list	253116	20236	97	28	8.96
creature	253116	20236	38	17	8.96
arceus	253116	20236	10	9	8.91
are	253116	20236	552	86	8.86
plugins	253116	20236	8	8	8.78
button	253116	20236	610	92	8.69
legenditem	253116	20236	13	10	8.62
